vQ$^@gWnUS, 33.9847, 97.5902, 30.633
2G4NYK5^*$, 60.8135, 5.59327, 35.0336
xNs8wEA!i6, 8.42813, 23.7217, 48.7064
aBEcUl#NZH, 88.7125, 73.5291, 56.3425
05GAAHeJyw, 17.8043, 32.4281, 49.9572
&JxiFrW504, 82.8012, 75.896, 87.2018
SvbAvG1845, 45.5352, 30.685, 46.5933
$kol%p$%c$, 96.5963, 91.3119, 57.3914
#5QYVvzgdF, 4.34557, 69.2813, 74.6514
R!WTk1IrN5, 56.8777, 12.1988, 100.098
f2JevJmJH#, 78.9786, 50.9969, 63.1132
^y&AwY^xrS, 0.889908, 0.143731, 94.3425
#PT&X3arTd, 84.7492, 52.0092, 70.9725
n3san&Vx0s, 92.9113, 52.9052, 9.30887
PcIuuRKYV0, 98.581, 23.0642, 8.28746
DLbaMgMLjr, 58.5382, 93.9541, 49.3609
cY*D9XIFQp, 12.2324, 34.2294, 84.4037
78^%JKJe8*, 94.1254, 48.8073, 27.841
9NanWWXKoz, 7.88685, 97.9266, 94.4954
qD1MB2zscp, 70.1346, 57.4037, 51.7706
Kp0M4u2O!w, 91.5994, 78.422, 53.2049
QfeQ&hmXmG, 2.25076, 42.8624, 71.7034
!Xie4@JEXu, 33.8716, 74.0275, 39.474
Z%n5qcHV9w, 79.6177, 85.9541, 86.5321
tYpIepvK%H, 98.4373, 53.6636, 26.8991
k7UmXkSUup, 63.211, 86.8593, 71.8838
XSaVb4Jv3m, 57.2477, 65.9847, 78.7278
LpQzvi2eG8, 0.0856269, 16.841, 58.5627
$fAgj^j5tq, 76.633, 11.3333, 53.7829
czEXYC5Evp, 39.2905, 12.104, 23.4985
zYy*Gttu8x, 33.5291, 5.53823, 70.2813
@UcbAWa!KD, 22.6453, 18.9388, 90.5107
RRIdRnqxyS, 98.7859, 64.6453, 53.7798
Q4GyfX%#Oy, 51.4006, 21.5229, 75.8257
Jm#qyQz3O^, 17.3425, 32.0061, 39.3272
kcjCbv!S$3, 7.75841, 26.3242, 80.1682
4h72R6PSQy, 32.2783, 50.7615, 42.9878
wnAtE6kf8^, 73.4709, 14.5015, 15.0398
